Table B1 
Properties of Variables in the Perseus Molecular Cloud


Identifier	R.A.	Decl.	SPT	Disk ^a	CTTS ^b	$\left\langle r\right\rangle $	nu	Amplitude	Timescale	Q	M	Category	Angle	
	(deg)	(deg)				(mag)		(mag)	(day)				(deg)	
Gaia EDR3 124009935063344128	51.245429	31.010398	M3.1	N	N	16.12	0.0078	0.19	50.36	0.81	0.08	QPS	68.7	
Gaia EDR3 123994679339516800	51.281136	30.828328	M2.8	N	N	16.59	0.0065	0.18	3.18	0.85	-0.04	QPS	41.0	
2MASS J03250943+3046215	51.289291	30.772661	K9.3	Y	Y	18.12	0.0299	0.96	8.31	0.92	-0.16	S	62.1	
Gaia EDR3 123998252752298752	51.302425	30.989481	K9.5	Y	Y	13.29	0.0250	0.31	11.90	0.88	-0.09	S	50.9	
Gaia EDR3 123996874066752640	51.379737	30.918846	M5.2	N	N	17.62	0.0090	0.33	34.59	0.65	-0.24	QPS	44.9	
2MASS J03253315+3055443	51.388165	30.928993	M0.9	Y	Y	15.74	0.0701	1.61	4.78	0.72	0.14	QPS	68.2	
Gaia EDR3 124018318839496064	51.407963	31.139139	M0.2	Y	Y	15.61	0.0576	1.10	0.86	0.93	0.45	APD	78.0	
Gaia EDR3 123999936379477504	51.445275	30.955693	M4.6	Y	Y	16.83	0.0353	0.86	121.39	0.85	0.40	L	71.9	
2MASS J03254886+3057258	51.453590	30.957169	K4.5	Y	cdots	14.58	0.0516	1.03	143.26	0.93	0.53	L	34.2	
2MASS J03255275+3054490	51.469818	30.913614	K5.8	Y	N	15.05	0.0184	0.28	1.17	0.88	0.68	APD	79.1	
Gaia EDR3 124002856957227648	51.582532	31.110303	K7	Y	N	16.09	0.0351	0.72	9.68	0.80	0.77	QPD	77.4	
Gaia EDR3 124030138589484672	51.617565	31.202155	K7	Y	Y	14.47	0.0653	1.24	5.76	0.78	0.72	QPD	78.1	
2MASS J03274148+3020166	51.922852	30.337971	K8.1	Y	Y	14.61	0.0185	0.38	3.15	0.65	0.19	QPS	72.9	
Gaia EDR3 124034399197073024	51.926947	31.285487	M2.8	N	N	16.23	0.0074	0.24	9.61	0.06	0.01	P	cdots	
Gaia EDR3 124034399197072896	51.930860	31.288977	K4.5	N	N	14.36	0.0054	0.15	0.82	0.61	-0.41	B	cdots	
2MASS J03282578+3054000	52.107437	30.900009	K2.9	N	N	13.61	0.0059	0.07	45.82	0.77	0.05	QPS	38.8	
2MASS J03284242+3029530	52.176777	30.498074	M4.5	Y	Y	16.24	0.0209	0.61	5.83	0.82	-0.65	B	68.7	
2MASS J03284618+3116385	52.192458	31.277389	M4.5	Y	cdots	14.93	0.0125	0.21	3.64	0.57	-0.39	QPS ^c	70.0	
2MASS J03284782+3116552	52.199250	31.282000	M6.5	Y	cdots	18.36	0.0502	1.65	3.79	0.95	-0.28	B	72.4	
2MASS J03285105+3116324	52.212750	31.275694	M5	Y	cdots	17.89	0.0177	0.46	115.82	0.77	-0.46	L	61.2	
2MASS J03285217+3045055	52.217407	30.751539	K4	Y	cdots	12.88	0.0327	0.44	8.16	0.56	0.22	QPD ^c	82.7	
2MASS J03285290+3116264	52.220417	31.274056	M5	Y	cdots	18.18	0.0145	0.48	211.66	0.71	-0.33	L	55.8	
2MASS J03290031+3113385	52.251292	31.227389	M3	N	cdots	17.82	0.0123	0.45	3.20	0.67	0.22	QPS	44.2	
2MASS J03290289+3116010	52.262043	31.266953	K6.2	N	N	15.52	0.0059	0.11	5.20	0.74	-0.02	MP	41.8	
2MASS J03290406+3117075	52.266917	31.285417	M5.8	N	cdots	18.02	0.0082	0.33	91.31	0.71	-0.43	B	44.4	
2MASS J03291243+3114565	52.301804	31.249033	K2.4	N	N	14.31	0.0051	0.08	1.03	0.84	0.13	QPS	41.8	
2MASS J03291465+3133009	52.311069	31.550257	K4	N	N	14.85	0.0083	0.16	5.63	0.58	0.23	QPS	81.1	
2MASS J03291766+3122451	52.323583	31.379194	M4	Y	cdots	13.59	0.0153	0.32	5.58	0.42	0.03	P	cdots	
2MASS J03291872+3123254	52.328042	31.390389	M2.5	Y	N	14.59	0.0182	0.53	0.90	0.51	0.01	MP	cdots	
2MASS J03292187+3115363	52.341125	31.260083	K4	Y	cdots	14.34	0.0883	2.84	2.11	0.53	0.18	P ^c	65.9	
2MASS J03292314+3120303	52.346458	31.341778	M4.8	Y	Y	16.59	0.0153	0.42	0.72	0.60	0.34	QPD	cdots	
2MASS J03292349+3123309	52.347917	31.391944	M3.5	N	N	17.34	0.0077	0.31	1.23	0.29	0.11	P	cdots	
2MASS J03292591+3126401	52.358000	31.444472	G8.5	Y	Y	15.24	0.0811	2.20	119.91	0.48	-0.99	L	cdots	
2MASS J03292681+3126475	52.361708	31.446528	M2	Y	N	14.10	0.0083	0.21	1.35	0.26	0.35	P ^c	cdots	
2MASS J03292815+3116285	52.367333	31.274611	M7.5	N	cdots	18.47	0.0201	0.61	2.43	0.33	-0.32	P ^c	77.2	
2MASS J03292889+3058418	52.370375	30.978278	M4.8	Y	cdots	16.95	0.0122	0.24	1.49	0.78	0.37	QPD	58.6	
2MASS J03293038+3119034	52.376625	31.317639	M4.2	Y	Y	15.86	0.0068	0.20	8.77	0.42	-0.04	P	cdots	
2MASS J03293255+3124370	52.385667	31.410278	M4.5	Y	cdots	17.95	0.0565	1.46	2.52	0.46	0.45	QPS ^c	cdots	
2MASS J03293286+3127126	52.386958	31.453528	M4	Y	N	17.43	0.0095	0.31	2.69	0.66	0.33	QPD	cdots	
2MASS J03294592+3104406S	52.441750	31.077500	M1	Y	cdots	16.37	0.0174	0.44	0.53	0.90	-0.39	B	57.4	
2MASS J03295403+3120529	52.475125	31.348056	M4	Y	Y	15.64	0.0176	0.50	3.13	0.57	-0.03	MP	cdots	
2MASS J03301614+3147595	52.567284	31.799868	K6.3	N	N	14.86	0.0208	0.52	1.33	0.36	0.27	P ^c	85.9	
2MASS J03302409+3114043	52.600375	31.234556	M5	Y	cdots	17.68	0.0163	0.50	1.77	0.86	-0.60	B	58.0	
2MASS J03302598+3102179	52.608253	31.038307	K4.5	N	N	13.61	0.0080	0.17	2.23	0.28	0.06	P	92.2	
2MASS J03303697+3031276	52.654041	30.524345	K4.8	Y	N	17.74	0.0589	1.24	173.10	0.93	0.78	L	71.4	
2MASS J03304399+3032469	52.683304	30.546379	K5.3	Y	cdots	14.47	0.0204	0.47	1.45	0.92	-0.23	S	63.6	
