i, Name, SOURCEID, J, H, K, Q,  S,exclude?,notes,exclusion COUNT:,9
0, 2MASS J03430144+3202143,44989782490916,14.45,13.74,13.22, Q2   ,0.91,n,,Q=2 count,173
1, 2MASS J03431992+3202412,44989782490222,13.77,13.21,12.84, Q1JH ,0.36,n,,,
2, IC 348 IRS J03432251+3218174,44989782463184,18.56,17.69,16.84, Q1HK ,-0.11,,,,
3, 2MASS J03432355+3212258,44989782490103,13.97,13.19,12.68, Q2   ,8.80,,,,
4, 2MASS J03432548+3155165,44989782446669,15.74,13.75,12.49, Q1J  ,0.91,,,,
5, 2MASS J03433137+3200198,44989782489794,16.30,15.58,14.99, Q2   ,0.33,,,,
6, 2MASS J03433365+3201451,44989782489696,13.28,12.66,12.22, Q1J  ,0.65,,,,
7, IC 348 IRS J03434240+3209329,44989782469858,18.33,17.08,15.97, Q2   ,0.68,,,,
8, 2MASS J03434521+3205247,44989782469771,15.20,14.57,14.10, Q2   ,0.58,,,,
9, IC 348 IRS J03434535+3155257,44989782427133,16.42,15.80,15.26, Q2   ,0.30,,,,
10, 2MASS J03434644+3211059,44989782469734,14.90,14.25,13.70, Q2   ,0.59,,,,
11, 2MASS J03434763+3209025,44989782469715,14.71,14.12,13.59, Q2   ,0.28,,,,
12, 2MASS J03434862+3213507,44989782440741,13.65,13.05,12.64, Q2   ,1.50,,,,
13, 2MASS J03434881+3215515,44989782441467,12.96,12.18,11.76, Q2   ,3.04,,,,
14, 2MASS J03435056+3203180,44989782469609,17.69,16.33,15.06, Q1JHK,0.88,,,,
15, 2MASS J03435508+3207145,44989782469417,14.13,13.53,13.01, Q2   ,0.68,,,,
16, 2MASS J03435526+3207533,44989782469408,13.62,13.06,12.54, Q2   ,3.15,,,,
17, IC 348 IRS J03435616+3203061,44989782469347,19.59,17.52,15.71, Q1HK ,-0.41,,,,
18, 2MASS J03435638+3209591,44989782469336,15.42,14.69,14.07, Q2   ,0.88,,,,
19, 2MASS J03435721+3201337,44989782469473,15.62,14.21,13.07, Q1J  ,1.35,,,,
20, 2MASS J03435754+3214488,44989782441140,14.94,14.30,13.78, Q2   ,2.60,,,,
21, 2MASS J03435815+3214324,44989782441024,14.24,13.54,13.07, Q2   ,-0.16,,,,
22, 2MASS J03435915+3205567,44989782469236,14.74,14.06,13.53, Q2   ,0.42,,,,
23, 2MASS J03435987+3204414,44989782469207,14.11,13.41,12.87, Q2   ,0.64,,,,
24, 2MASS J03440019+3158217,44989782426890,13.54,12.88,12.41, Q2   ,0.26,,,,
25, 2MASS J03440047+3204327,44989782469180,19.55,16.61,14.54, Q1HK ,0.90,,,,
26, IC 348 IRS J03440077+3204199,44989782469173,19.31,18.47,17.69, Q1K  ,0.38,,,,
27, IC 348 IRS J03440157+3223587,44989782443701,13.54,12.78,12.30, Q2   ,-0.25,,,,
28, 2MASS J03440233+3210154,44989782469117,15.00,14.27,13.73, Q2   ,0.52,,,,
29, 2MASS J03440257+3201348,44989782469126,12.74,12.08,11.69, Q2   ,0.47,,,,
30, IC 348 IRS J03440294+3152280,44989782426820,14.51,13.58,12.86, Q2   ,3.95,,,,
31, IC 348 IRS J03440361+3205183,44989782469083,17.61,15.97,14.83, Q0   ,1.44,,,,
32, IC 348 IRS J03440362+3202331,44989782469091,14.30,13.71,13.28, Q0   ,1.13,,,,
33, 2MASS J03440362+3202341,44989782469090,14.21,13.61,13.20, Q0   ,1.02,,,,
34, 2MASS J03440424+3213497,44989782440739,12.52,11.77,11.36, Q2   ,0.22,,,,
35, 2MASS J03440442+3204539,44989782469066,14.01,13.43,12.93, Q2   ,0.90,,,,
36, 2MASS J03440518+3203005,44989782469034,19.39,16.39,14.37, Q1HK ,0.04,,,,
37, 2MASS J03440576+3200010,44989782469009,17.11,15.22,13.76, Q1J  ,0.85,,,,
38, 2MASS J03440599+3215321,44989782441381,14.33,13.79,13.30, Q2   ,0.30,,,,
39, IC 348 IRS J03440691+3201554,44989782468989,18.02,16.60,15.60, Q2   ,2.13,,,,
40, IC 348 IRS J03440727+3214334,44989782441002,17.81,16.88,16.06, Q2   ,0.05,,,,
41, 2MASS J03440750+3204088,44989782468907,13.32,12.64,12.21, Q2   ,2.43,,,,
42, 2MASS J03440770+3205050,44989782468895,13.99,13.05,12.47, Q2   ,0.57,,,,
43, 2MASS J03441012+3204045,44989782468734,13.17,12.49,11.90, Q2   ,1.18,,,,
44, 2MASS J03441022+3207344,44989782468996,14.64,13.98,13.42, Q2   ,0.91,,,,
45, 2MASS J03441106+3201436,44989782468667,16.56,15.47,14.42, Q2   ,4.38,,,,
46, 2MASS J03441122+3208161,44989782468661,12.76,12.14,11.71, Q2   ,1.25,,,,
47, 2MASS J03441127+3220508,44989782443043,15.86,15.16,14.62, Q2   ,0.18,,,,
48, 2MASS J03441150+3218094,44989782442125,15.87,15.09,14.41, Q2   ,0.32,,,,
49, 2MASS J03441276+3210552,44989782468550,14.58,13.97,13.53, Q2   ,2.16,,,,
50, 2MASS J03441297+3213156,44989782440581,14.39,13.64,13.13, Q2   ,3.58,,,,
51, 2MASS J03441357+3215242,44989782441336,14.66,14.05,13.58, Q2   ,0.87,,,,
52, 2MASS J03441386+3156539,44989782426518,15.54,14.03,13.02, Q2   ,1.72,,,,
53, IC 348 IRS J03441492+3213435,44989782440686,18.13,17.20,16.35, Q2   ,0.18,,,,
54, 2MASS J03441522+3219421,44989782442771,14.13,13.29,12.75, Q2   ,0.69,,,,
55, IC 348 IRS J03441547+3219230,44989782442556,17.79,16.85,16.04, Q2   ,-0.04,,,,
56, 2MASS J03441558+3209218,44989782468354,14.57,13.92,13.34, Q2   ,0.88,,,,
57, 2MASS J03441583+3159367,44989782468361,14.03,13.39,12.88, Q2   ,0.63,,,,
58, IC 348 IRS J03441618+3205410,44989782468317,17.73,16.87,16.07, Q2   ,0.42,,,,
59, 2MASS J03441688+3218173,44989782442390,13.58,12.87,12.40, Q2   ,0.42,,,,
60, 2MASS J03441726+3200152,44989782468252,14.93,14.31,13.72, Q2   ,0.38,,,,
61, 2MASS J03441776+3204476,44989782468260,13.14,12.36,11.86, Q2   ,2.38,,,,
62, 2MASS J03441807+3156599,44989782426377,15.38,14.64,14.08, Q2   ,0.89,,,,
63, IC 348 IRS J03441827+3207325,44989782468132,13.70,12.98,12.54, Q2   ,0.71,,,,
64, IC 348 IRS J03441855+3217000,44989782442386,14.92,14.38,13.88, Q0   ,2.64,,,,
65, IC 348 IRS J03441876+3211321,44989782468059,18.00,17.18,16.42, Q0   ,1.56,,,,
66, IC 348 IRS J03441885+3219327,44989782442656,16.82,16.03,15.35, Q2   ,0.35,,,,
67, 2MASS J03441901+3222057,44989782443309,14.49,13.81,13.25, Q2   ,0.97,,,,
68, IC 348 IRS J03441902+3207357,44989782468066,14.50,13.82,13.30, Q0   ,5.76,??,"possibly an EB, possibly an error",,
69, 2MASS J03441918+3205599,44989782468057,14.32,13.69,13.21, Q2   ,0.43,,,,
70, IC 348 IRS J03441967+3206459,44989782467993, nan, nan, nan, Q-1  ,  nan,yes,no data,,
