i, Name, SOURCEID, J, H, K, Q,  S,exclude?,notes,exclusion COUNT:,2
0, 2MASS J03281518+3117238,44508746126979,16.52,15.82,15.12, Q2   ,0.41,n,,Q=2 count,70
1, 2MASS J03282839+3116273,44508746098759,14.59,14.07,13.65, Q0   ,0.64,n,,,
2, NGC 1333 IRS J03282974+3115206,44508746098738,18.76,18.03,17.26, Q1K  ,-0.09,n,,,
3, 2MASS J03283107+3117040,44508746098719,17.06,15.30,13.98, Q0   ,0.61,??,"double detections, but benign",,
4, NGC 1333 IRS J03283486+3116046,44508746098671,17.55,16.52,15.21, Q2   ,0.87,n,,,
5, 2MASS J03283533+3117597,44508746127084,16.24,14.65,13.54, Q1JH ,0.66,n,,,
6, NGC 1333 IRS J03283628+3117213,44508746126973,17.79,17.08,16.37, Q2   ,0.21,,,,
7, NGC 1333 IRS J03283799+3122098,44508746127515,19.81,18.70,17.65, Q1K  ,-0.60,,,,
8, 2MASS J03283875+3118068,44508746128322, nan,17.15,14.03, Q1HK ,  nan,,,,
9, 2MASS J03284355+3117364,44508746127117,12.09,10.86,9.92, Q0   ,33.68,,,,
10, 2MASS J03284407+3120528,44508746127412,14.15,13.28,12.57, Q2   ,0.93,,,,
11, NGC 1333 IRS J03284563+3116112,44508746098424,18.46,17.74,16.98, Q2   ,-0.04,,,,
12, 2MASS J03284618+3116385,44508746098456,10.80,10.07,9.70, Q0   ,5.12,yes,saturated,,
13, 2MASS J03284734+3111298,44508746098403,15.35,13.80,12.67, Q2   ,3.07,,,,
14, NGC 1333 IRS J03284766+3121546,44508746127488,17.69,16.38,15.32, Q2   ,-0.04,,,,
15, 2MASS J03284782+3116552,44508746098400,12.86,11.83,10.90, Q1JH ,10.48,,,,
16, 2MASS J03284881+3117226,44508746126974,17.67,15.20,13.66, Q2   ,1.14,,,,
17, 2MASS J03285101+3118184,44508746116084,11.01,10.05,9.28, Q0   ,15.16,??,saturated BUT it's a LONG PERIOD BRIGHTENER,,
18, NGC 1333 IRS J03285105+3119282,44508746116073,19.43,18.53,17.80, Q0   ,0.01,,,,
19, 2MASS J03285105+3116324,44508746107194,13.22,12.52,12.11, Q2   ,1.84,,,,
20, 2MASS J03285213+3115471,44508746107325,13.01,12.47,11.96, Q2   ,5.08,,,,
21, 2MASS J03285290+3116264,44508746107213,13.54,12.92,12.51, Q2   ,1.99,,,,
22, 2MASS J03285407+3116543,44508746107153,12.97,12.14,11.63, Q0   ,2.35,,,,
23, 2MASS J03285492+3115290,44508746107378,16.00,15.01,14.22, Q2   ,1.29,,,,
24, 2MASS J03285496+3118153,44508746116168,17.48,14.83,13.16, Q1J  ,1.05,,,,
25, 2MASS J03285524+3117354,44508746116177,15.09,14.16,13.46, Q2   ,1.41,,,,
26, 2MASS J03285622+3117457,44508746116228,13.40,12.68,12.16, Q2   ,0.76,,,,
27, NGC 1333 IRS J03285650+3116031,44508746107277,18.20,17.55,16.82, Q2   ,-0.15,,,,
28, 2MASS J03285686+3119454,44508746116355,16.33,15.25,14.39, Q1JH ,0.76,,,,
29, 2MASS J03285694+3120487,44508746116243,15.40,14.53,13.86, Q2   ,1.03,,,,
30, 2MASS J03285694+3115503,44508746107323,15.08,14.14,13.47, Q2   ,0.65,,,,
31, NGC 1333 IRS J03285704+3116487,44508746107146,17.06,16.20,15.51, Q2   ,0.22,,,,
32, NGC 1333 IRS J03285711+3119120,44508746116250,17.10,16.11,15.32, Q2   ,4.23,,,,
33, 2MASS J03285715+3115345,44508746107362,15.34,14.07,13.19, Q1J  ,1.17,,,,
34, 2MASS J03285824+3122093,44508746116313,15.96,14.38,13.29, Q1J  ,1.04,,,,
35, 2MASS J03285824+3122021,44508746116314,14.58,13.29,12.23, Q0   ,24.20,,,,
36, 2MASS J03285842+3122567,44508746116316,15.26,14.29,13.59, Q2   ,0.86,,,,
37, NGC 1333 IRS J03285924+3116535,44508746107136,17.99,17.02,16.09, Q2   ,1.33,,,,
38, 2MASS J03290015+3121092,44508746116436,16.54,14.61,13.32, Q2   ,7.66,,,,
39, 2MASS J03290037+3120456,44508746116459,13.47,12.40,11.81, Q2   ,0.65,,,,
40, NGC 1333 IRS J03290105+3118344,44508746116477,19.28,18.12,17.14, Q1K  ,0.10,,,,
41, NGC 1333 IRS J03290236+3122159,44508746116535,18.23,17.51,16.80, Q2   ,-0.11,,,,
42, 2MASS J03290279+3122172,44508746116558,16.92,14.97,13.45, Q2   ,2.21,,,,
43, 2MASS J03290320+3125451,44508746116567,15.71,14.70,13.93, Q2   ,2.31,,,,
44, 2MASS J03290339+3118399,44508746116577,15.73,14.69,13.91, Q2   ,1.26,,,,
45, 2MASS J03290342+3125143,44508746116630,16.37,14.89,13.87, Q2   ,0.45,,,,
46, 2MASS J03290394+3123307,44508746116585,17.31,16.03,14.98, Q2   ,0.45,,,,
47, 2MASS J03290406+3117075,44508746107200,13.25,12.70,12.33, Q0   ,0.93,??,"double detections, but benign",,
48, 2MASS J03290462+3120289,44508746116671,17.73,15.43,13.71, Q1J  ,0.69,,,,
49, 2MASS J03290466+3116591,44508746107203,14.85,13.40,12.34, Q0   ,9.42,??,"double detections, but benign + obviously a true variable",,
50, 2MASS J03290493+3120385,44508746116672,17.70,15.36,13.26, Q0   ,1.96,,,,
51, NGC 1333 IRS J03290517+3120370,44508746116674,17.58,16.02,14.75, Q0   ,17.38,,,,
52, 2MASS J03290554+3110142,44508746107771,17.10,16.48,15.88, Q2   ,0.15,,,,
53, 2MASS J03290566+3120107,44508746116661,16.59,15.84,15.04, Q2   ,9.98,,,,
54, NGC 1333 IRS J03290591+3116403,44508746107207,16.57,14.00,12.27, Q-1  ,7.23,??,,,
55, 2MASS J03290693+3129571,44508746116723,16.52,15.61,14.85, Q2   ,0.80,,,,
56, NGC 1333 IRS J03290716+3123228,44508746116731,18.07,16.68,15.65, Q2   ,1.59,,,,
57, 2MASS J03290832+3120203,44508746116777,14.64,13.01,12.00, Q2   ,0.71,,,,
58, 2MASS J03290908+3123056,44508746117253,14.54,12.95,11.74, Q0   ,5.70,,,,
59, 2MASS J03290915+3121445,44508746118973, nan,15.01,12.98, Q0   ,  nan,,,,
60, NGC 1333 IRS J03290926+3116236,44508746107214, nan,19.07,18.20, Q-1  ,  nan,,,,
61, 2MASS J03290933+3121042,44508746116800,16.24,14.34,13.06, Q2   ,2.14,n,f95!,,
62, 2MASS J03290948+3127209,44508746116809,14.11,13.30,12.70, Q2   ,2.02,,,,
63, 2MASS J03291018+3127159,44508746116825,15.45,14.72,14.16, Q2   ,0.16,,,,
64, 2MASS J03291046+3123348,44508746116840,15.58,13.90,12.79, Q2   ,4.34,,,,
65, 2MASS J03291064+3123442,44508746116850,17.83,16.22,14.98, Q2   ,0.27,,,,
66, 2MASS J03291079+3122301,44508746117256,14.72,13.62,12.88, Q0   ,0.98,,,,
67, 2MASS J03291130+3117175,44508746116898,13.88,13.37,12.88, Q2   ,0.65,,,,
68, 2MASS J03291132+3122570,44508746117257,14.78,13.52,12.53, Q2   ,2.91,,,,
69, 2MASS J03291163+3120374,44508746116914,15.28,13.65,12.66, Q2   ,2.65,,,,
70, 2MASS J03291203+3125489,44508746116935,15.95,15.39,14.87, Q2   ,0.21,,,,
71, 2MASS J03291228+3123065,44508746116949,18.16,16.43,15.04, Q2   ,0.96,,,,
72, 2MASS J03291279+3120077,44508746116989,14.51,13.81,13.30, Q2   ,2.49,,,,
73, 2MASS J03291290+3123293,44508746116994,13.38,12.60,12.05, Q2   ,2.13,,,,
74, 2MASS J03291303+3117383,44508746116999,15.17,14.66,14.16, Q2   ,0.60,,,,
75, 2MASS J03291361+3117434,44508746117026,16.41,14.35,12.98, Q2   ,0.46,,,,
76, NGC 1333 IRS J03291386+3118057,44508746117027,19.41,18.55,17.69, Q1K  ,-0.14,,,,
77, 2MASS J03291443+3122362,44508746117035,14.44,13.55,12.97, Q2   ,0.77,,,,
78, 2MASS J03291776+3119481,44508746117136, nan, nan, nan, Q-1  ,  nan,yes,no data,,
79, NGC 1333 IRS J03292039+3127253,44508746117238,18.76,18.09,17.37, Q1K  ,-0.08,,,,
80, 2MASS J03292130+3123464,44508746117301,17.36,14.74,12.97, Q2   ,-0.03,,,,
81, 2MASS J03292151+3125129,44508746117349,13.15,12.25,11.70, Q2   ,0.88,,,,
82, 2MASS J03292155+3121104,44508746117326,12.36,11.76,11.41, Q2   ,0.91,,,,
83, NGC 1333 IRS J03292195+3118292,44508746117327,18.77,17.97,17.22, Q1HK ,-0.06,,,,
84, 2MASS J03292314+3120303,44508746117406,12.32,11.65,11.21, Q2   ,8.83,n,,,
85, 2MASS J03292322+3126531,44508746117401,13.47,12.70,12.22, Q2   ,3.59,,,,
86, 2MASS J03292445+3128149,44508746117422,14.01,13.21,12.68, Q2   ,0.40,,,,
87, 2MASS J03292483+3124062,44508746117427,14.36,13.77,13.37, Q2   ,0.86,,,,
88, NGC 1333 IRS J03292585+3116418,44508746107164,18.69,18.02,17.29, Q1K  ,-0.09,,,,
89, 2MASS J03292798+3125109,44508746117487,17.55,16.01,14.86, Q2   ,0.14,,,,
90, 2MASS J03292815+3116285,44508746107212,12.92,12.45,12.03, Q2   ,6.42,,,,
91, 2MASS J03292889+3058418,44508746121420,12.86,12.27,11.95, Q2   ,6.23,,,,
92, 2MASS J03292978+3121027,44508746117537,12.61,11.69,11.20, Q2   ,2.00,,,,
93, 2MASS J03293053+3127280,44508746117549,13.76,13.07,12.62, Q2   ,0.76,,,,
94, NGC 1333 IRS J03293154+3125278,44508746117569,17.16,16.28,15.43, Q2   ,8.07,,,,
95, 2MASS J03293255+3124370,44508746117584,13.06,12.18,11.45, Q2   ,29.77,,,,
96, 2MASS J03293387+3120362,44508746117604,16.45,15.86,15.30, Q2   ,0.05,,,,
97, NGC 1333 IRS J03293521+3126111,44508746117635, nan,18.98,18.02, Q0   ,  nan,,,,
98, NGC 1333 IRS J03293570+3121085,44508746117645,18.61,18.06,17.04, Q1K  ,0.42,,,,
99, NGC 1333 IRS J03293636+3117498,44508746117655,17.94,17.23,16.49, Q2   ,0.21,,,,
100, 2MASS J03293764+3102492,44508746120771,14.66,14.19,13.77, Q2   ,0.61,,,,
101, 2MASS J03293773+3122024,44508746117684,13.86,13.38,12.92, Q2   ,1.88,,,,
102, 2MASS J03294415+3119478,44508746117813,17.64,16.51,15.09, Q2   ,3.44,,,,
103, 2MASS J03294640+3120394,44508746117885,12.31,11.75,11.45, Q2   ,0.83,,,,
