index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K
0,44989782447631,ic_000C_M2.5_Q2,C,55.70499849263126,31.836397574754876,12.994135856628418,11.785688400268555,11.122093200683594,2.5,2.2353222779553343,0.043082618713377485,0.040135955810548296,0.04432125091552663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44989782490916,ic_001C_M5.2_Q2,C,55.75603131275468,32.0373044832343,14.454512596130371,13.744124412536621,13.216278076171875,5.25,0.9073756426230244,0.022271537780762074,0.03376884460449325,0.018006420135499468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,44989782447074,ic_002A_M3.0_Q0,A,55.778295198422015,31.805696507803745,12.189659118652344,11.220585823059082,10.713430404663086,3.0,0.941162109375,0.023014068603515625,0.026464271545410867,0.019725322723388672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,44989782490480,ic_003C_M1.0_Q2,C,55.8071493904839,32.012534054550166,13.809515953063965,12.368744850158691,11.617155075073242,1.0,23.204067887931036,0.40295505523681463,0.2974036216735847,0.16975736618041992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,44989782490350,ic_004C_M4.0_Q2,C,55.815885340026675,32.17930999361823,16.037904739379883,15.077047348022461,14.259601593017578,4.0,4.74023577810704,0.09955444335937713,0.09871196746826172,0.1334223747253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44989782490222,ic_005A_M4.5_Q1JH,A,55.833059411337814,32.044767051092165,13.7719087600708,13.212897300720215,12.83935260772705,4.5,0.36202386878002646,0.01998233795165838,0.019948673248290305,0.018027114868162997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44989782463184,ic_006A_L0.0_Q1HK,A,55.84381049454544,32.30485042349954,18.55980682373047,17.68857765197754,16.84076690673828,10.0,-0.10960409376356336,0.25756778717040874,0.1667324066162159,0.15140113830566193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,44989782490103,ic_007C_M4.5_Q2,C,55.84818139075901,32.20717110361533,13.972917556762695,13.18770980834961,12.678646087646484,4.5,8.795645480685764,0.20463485717773366,0.1653752326965332,0.094085693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,44989782446669,ic_008A_M5.0_Q1J,A,55.85616569978509,31.92124175090052,15.735189437866211,13.745331764221191,12.486934661865234,5.0,0.9124534924825032,0.03345298767089844,0.031545829772950285,0.021147918701171164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,44989782490030,ic_009A_M4.0_Q0,A,55.85928584510865,31.991304291664065,14.48150634765625,13.782262802124023,13.38469409942627,4.0,0.8101268181434045,0.02682800292968679,0.039620494842527165,0.024627685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
