index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K,Periodic?,Period,Amp,Method,Best Band
0,4.49898E+13,ic_000C_M2.5_Q2,C,55.70499849,31.83639757,12.99413586,11.7856884,11.1220932,2.5,2.235322278,0.043082619,0.040135956,0.044321251,0.50,1.31E-02,4.22E-02,0.45,1.19E-02,3.20E-03,0.20,1.33E-02,3.02E-02,0.04,1.24E-02,1.13E-01,0.45,1.10E-02,7.59E-02,0.17,1.14E-02,1.85E-01,0.45,1.07E-02,1.95E-01,0.45,1.02E-02,1.14E-01,0.84,1.09E-02,1.84E-01,,,,,
1,4.49898E+13,ic_001C_M5.2_Q2,C,55.75603131,32.03730448,14.4545126,13.74412441,13.21627808,5.25,0.907375643,0.022271538,0.033768845,0.01800642,0.43,8.65E-03,2.41E-05,0.75,1.08E-02,1.80E-04,0.13,6.24E-03,4.06E-02,0.43,8.72E-03,4.85E-04,0.75,9.52E-03,7.49E-04,0.16,5.62E-03,6.22E-02,0.43,8.44E-03,1.06E-03,0.43,1.00E-02,3.32E-05,0.16,5.69E-03,4.75E-02,,,,,
2,4.49898E+13,ic_002A_M3.0_Q0,A,55.7782952,31.80569651,12.18965912,11.22058582,10.7134304,3,0.941162109,0.023014069,0.026464272,0.019725323,0.86,7.22E-03,1.93E-02,0.36,8.27E-03,1.97E-02,0.05,7.75E-03,9.21E-02,0.86,6.73E-03,2.54E-01,0.10,8.48E-03,5.57E-02,0.16,7.76E-03,1.40E-01,0.86,6.83E-03,2.00E-01,0.09,8.41E-03,3.82E-02,0.16,7.75E-03,1.43E-01,,,,,
3,4.49898E+13,ic_003C_M1.0_Q2,C,55.80714939,32.01253405,13.80951595,12.36874485,11.61715508,1,23.20406789,0.402955055,0.297403622,0.169757366,64.52,2.04E-01,1.00E-03,0.98,1.36E-01,2.09E-03,0.98,8.52E-02,1.15E-02,0.98,2.09E-01,1.30E-02,0.98,1.24E-01,8.84E-02,0.98,8.04E-02,1.04E-01,0.17,2.08E-01,3.89E-02,8.20,1.03E-01,3.69E-01,0.98,8.28E-02,7.37E-02,,,,,
4,4.49898E+13,ic_004C_M4.0_Q2,C,55.81588534,32.17930999,16.03790474,15.07704735,14.25960159,4,4.740235778,0.099554443,0.098711967,0.133422375,0.08,4.12E-02,2.64E-03,0.50,5.36E-02,3.65E-04,0.50,7.64E-02,1.68E-08,1.41,2.34E-02,5.40E-02,0.04,2.09E-02,1.70E-02,73.53,2.33E-02,2.44E-01,1.41,2.35E-02,4.91E-02,0.04,2.08E-02,1.73E-02,0.13,1.93E-02,1.03E-01,,,,,
5,4.49898E+13,ic_005A_M4.5_Q1JH,A,55.83305941,32.04476705,13.77190876,13.2128973,12.83935261,4.5,0.362023869,0.019982338,0.019948673,0.018027115,0.05,7.97E-03,8.63E-03,0.09,5.40E-03,4.11E-02,0.07,5.45E-03,9.41E-02,0.10,7.13E-03,1.98E-01,8.05,5.02E-03,1.25E-01,0.06,5.52E-03,6.71E-02,0.10,7.06E-03,1.90E-01,7.99,4.84E-03,1.97E-01,0.06,5.68E-03,3.49E-02,,,,,
6,4.49898E+13,ic_006A_L0.0_Q1HK,A,55.84381049,32.30485042,18.55980682,17.68857765,16.84076691,10,-0.109604094,0.257567787,0.166732407,0.151401138,0.32,6.96E-02,6.68E-03,0.40,4.24E-02,4.83E-02,0.09,4.76E-02,3.63E-03,0.24,7.24E-02,7.78E-02,0.40,4.73E-02,3.45E-02,0.05,4.63E-02,1.80E-02,0.24,7.25E-02,6.56E-02,0.40,4.66E-02,4.30E-02,0.10,4.23E-02,5.74E-02,,,,,
7,4.49898E+13,ic_007C_M4.5_Q2,C,55.84818139,32.2071711,13.97291756,13.18770981,12.67864609,4.5,8.795645481,0.204634857,0.165375233,0.094085693,0.09,6.87E-02,6.27E-04,0.07,4.85E-02,9.93E-03,0.10,3.13E-02,4.57E-03,0.50,3.82E-02,6.86E-02,0.39,2.62E-02,1.45E-01,0.06,1.98E-02,4.25E-01,0.50,3.92E-02,5.28E-02,0.39,2.62E-02,1.45E-01,0.39,1.94E-02,4.50E-01,,,,,
8,4.49898E+13,ic_008A_M5.0_Q1J,A,55.8561657,31.92124175,15.73518944,13.74533176,12.48693466,5,0.912453492,0.033452988,0.03154583,0.021147919,0.05,9.77E-03,3.38E-03,0.04,8.28E-03,8.94E-03,0.26,6.09E-03,1.18E-02,0.05,9.20E-03,1.95E-02,0.45,7.82E-03,7.00E-02,0.84,6.44E-03,2.94E-03,0.05,8.57E-03,4.52E-02,19.38,7.26E-03,6.49E-02,0.84,6.44E-03,3.04E-03,,,,,
9,4.49898E+13,ic_009A_M4.0_Q0,A,55.85928585,31.99130429,14.48150635,13.7822628,13.3846941,4,0.810126818,0.026828003,0.039620495,0.024627686,0.50,6.66E-03,3.75E-03,0.50,9.76E-03,4.06E-04,0.18,5.74E-03,1.12E-02,0.06,6.63E-03,4.50E-02,0.13,7.19E-03,5.75E-02,1.94,5.09E-03,3.64E-02,0.06,6.64E-03,4.15E-02,0.13,5.82E-03,3.91E-01,2.05,5.27E-03,1.52E-02,,,,,
