index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K
0,44508746127015,ngc_000A_M2.5_Q1H,A,52.045902649896966,31.29144825735165,12.317328453063965,11.416049003601074,10.976200103759766,2.5,1.152610223412057,0.033959960937499645,0.03418445587158203,0.028774642944336293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44508746126979,ngc_001C_M8.2_Q2,C,52.063295264282765,31.289945523658066,16.515056610107422,15.824037551879883,15.121696472167969,8.25,0.41300411500792567,0.07130088806152202,0.055653572082517755,0.0571569442749027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,44508746098759,ngc_002A_M5.8_Q0,A,52.11839272596095,31.2742355333379,14.590139389038086,14.06614875793457,13.646990776062012,5.75,0.6379043528742523,0.034665584564208984,0.03383970260620117,0.0237922668457049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,44508746098738,ngc_003A_M9.5_Q1K,A,52.12393239325014,31.255683640787705,18.758718490600586,18.02743148803711,17.25758934020996,9.5,-0.08774696375785852,0.3206768035888672,0.24230880737304972,0.22720565795898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,44508746098719,ngc_004A_M8.0_Q0,A,52.12957164293435,31.284469842402903,17.055400848388672,15.30056095123291,13.979825973510742,8.0,0.6115748874100623,0.09025497436523366,0.056826305389403586,0.037652587890624645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44508746098671,ngc_005C_M8.0_Q2,C,52.145271552831,31.267915741782016,17.55309295654297,16.520366668701172,15.212504386901855,8.0,0.8719799804687499,0.12078514099120952,0.07675628662109446,0.06071567535400568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44508746127084,ngc_006A_M5.5_Q1JH,A,52.14725474593154,31.299908659036227,16.237525939941406,14.648160934448242,13.538780212402344,5.5,0.6605984814278114,0.04980926513671946,0.040005302429198863,0.027147293090820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,44508746126973,ngc_007C_M8.5_Q2,C,52.15119618587766,31.28925309152846,17.786088943481445,17.08197021484375,16.374691009521484,8.5,0.20964599937521,0.15028152465820455,0.1065023422241218,0.11767921447754048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,44508746127275,ngc_008C_M4.0_Q2,C,52.15217641478506,31.324728364541873,12.756977081298828,12.147472381591797,11.838541030883789,4.0,1.903181435405344,0.0402349472045902,0.04223146438598668,0.03075256347656108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,44508746127046,ngc_009A_M2.0_Q0,A,52.15386390336591,31.293169449015686,11.921906471252441,10.682168006896973,10.066134452819824,2.0,1.6210970314600133,0.041426658630371094,0.038246154785158026,0.03130893707275462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,44508746127611,ngc_010A_M1.0_Q1J,A,52.153954039406884,31.386710691027005,11.703727722167969,10.847596168518066,10.473337173461914,1.0,6.108855629681647,0.08425617218017578,0.0997781753540039,0.0782008171081543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,44508746127515,ngc_011A_L0.0_Q1K,A,52.15832286068124,31.369376751669524,19.811763763427734,18.704172134399414,17.65174102783203,10.0,-0.6035644743177626,0.2904195785522461,0.4134044647216797,0.3016845703124993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,44508746128322,ngc_012S_M9.0_Q1HK,S,52.161546267332724,31.30186775606448,,17.15338706970215,14.030203819274902,9.0,,,0.24449234008789134,0.1267331123352058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,44508746098496,ngc_013C_M4.0_Q2,C,52.18013189283994,31.17852219031615,15.30357551574707,13.246667861938477,11.997236251831055,4.0,3.722787586375825,0.0866212844848615,0.0769935607910135,0.07435398101806712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,44508746127117,ngc_014A_M5.5_Q0,A,52.181500101020184,31.293477172202948,12.091537475585938,10.858659744262695,9.924015045166016,5.5,33.67960298978365,0.49719638824462997,0.3336322784423835,0.24546298980712855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,44508746127412,ngc_015C_M6.0_Q2,C,52.18367452741841,31.348026919322386,14.147509574890137,13.280515670776367,12.57149887084961,6.0,0.9262782818100358,0.023941612243650212,0.04223985671997177,0.0252730369567864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,44508746098424,ngc_016A_M9.0_Q2,A,52.190174941054046,31.26976910870742,18.459636688232422,17.735057830810547,16.982328414916992,9.0,-0.04067012421762196,0.2512004852294929,0.17880821228027344,0.16419219970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,44508746098403,ngc_017C_M8.2_Q2,C,52.19726082354841,31.191635096855208,15.351968765258789,13.7994384765625,12.67105484008789,8.25,3.0685914294554455,0.05106849670410263,0.056579875946043856,0.0490339279174794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,44508746127678,ngc_018C_M3.0_Q2,C,52.19852375950006,31.40171174715378,14.140704154968262,12.616825103759766,11.539346694946289,3.0,12.597034960237455,0.32170677185058416,0.20520286560058487,0.24237546920776332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,44508746127488,ngc_019C_M8.2_Q2,C,52.198596772352545,31.365173170940203,17.68805694580078,16.37661361694336,15.32060432434082,8.25,-0.04385841533701907,0.11317596435547017,0.08010101318359375,0.052919864654541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,44508746098400,ngc_020A_M6.5_Q1JH,A,52.19929809806475,31.282001316193725,12.856622695922852,11.830180168151855,10.903026580810547,6.5,10.484291202557756,0.1646503448486314,0.1578796386718757,0.15022220611572124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
