Title: HST survey of the Orion Nebula Cluster in the H_2_O 1.4um absorption 
       band: I. A census of substellar and planetary mass objects  
Authors: Robberto M., Gennaro M., Gabellini M.G.U., Hillenbrand L.A., 
    Pacifici C., Ubeda L., Andersen M., Bartman T., Bellini A., Da Rio N., 
    de Mink S., Lodato G., Manara C.F., Platais I., Pueyo L., Soderblom D.R., 
    Strampelli G.M., Tan J., Testi L.
Table: Estimated parameters of the ONC sample
================================================================================
Byte-by-byte Description of file: apjab911et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     index    Sequential running number 
   6- 10 F5.2   [-]     log(BF)  Base-10 Logarithm of the Bayes Factor
  12- 15 F4.2   solMass Mstar    Mass, solar units
  17- 20 I4     K       Teff     Effective Temperature
  22- 27 F6.2   mag     Av       Extinction estimated using distance from IR isochrone
--------------------------------------------------------------------------------
   1  2.00 0.91 3757  -3.62
   3  2.00 0.81 3678   3.30
   4  2.00 0.28 3266   0.12
   5  2.00 0.14 3084   1.72
   7  2.00 0.13 3069   0.87
   8  2.00 0.11 3031   2.13
  10  0.84 0.01 2063  -1.69
  14  0.50 0.01 2203   8.82
  25  2.00 1.05 3843   0.85
  26  2.00 1.33 4127   2.87
  40  2.00 0.10 2861   0.92
  41 -0.13 0.24 3235   9.99
  45  2.00 0.34 3313  -9.13
  46  2.00 0.94 3770  -2.15
  47  2.00 0.97 3793   1.87
  49 -0.23 0.00 1634  -3.48
  51  2.00 0.78 3657  -3.00
  52  2.00 1.03 3826   8.45
  53  2.00 0.11 2978  -1.75
  54  2.00 0.31 3289   2.17
  55  2.00 0.41 3363   3.64
  56  2.00 0.14 3101  -1.40
  57  2.00 0.15 3127  -0.43
  59 -0.21 0.09 2868   7.71
  60  2.00 0.02 2470   0.34
  61  0.95 0.02 2470   1.65
  73  0.19 0.00 1854  -2.25
  88  2.00 0.45 3388   5.31
  89  2.00 0.13 3072   0.10
  90  2.00 0.10 2858  -0.88
 112  2.00 0.33 3304   3.21
 124  2.00 0.91 3759   5.03
 125  2.00 0.41 3361   4.52
 126  2.00 0.10 2903  -1.32
 129  2.00 0.01 2380  -0.80
 144  2.00 0.90 3754   2.94
 145  2.00 0.44 3381   1.79
 146  2.00 0.67 3568   2.42
 147  2.00 0.26 3250   1.87
 148  2.00 0.50 3424   3.72
 149  2.00 0.16 3136   1.18
 150  2.00 0.17 3155   3.00
 151  2.00 0.11 3030   1.02
 152  2.00 0.10 2862   0.79
 153  0.65 0.16 3133   5.94
 154  2.00 0.04 2749   2.09
 157  2.00 0.02 2430   1.22
 176  2.00 0.79 3663   2.28
 177  2.00 0.38 3342   3.28
 178  2.00 0.15 3110   1.06
 179  2.00 0.08 2869  -2.47
 180  0.60 0.10 2883   6.14
 181 -0.44 0.12 3055   9.90
 189  0.18 0.01 1906  -0.03
 199  2.00 0.43 3378   1.59
 200  2.00 0.16 3145  -0.04
 201  2.00 0.19 3183   1.74
 202  0.84 0.09 2867   3.80
 214  2.00 0.43 3376   5.44
 215  2.00 0.04 2740  -2.19
 221  0.19 0.00 1798  -3.02
 232  2.00 1.03 3830  -9.75
 234  2.00 0.94 3772   4.13
 235  2.00 0.69 3588   2.84
 236  2.00 0.58 3489   3.10
 237  2.00 0.69 3583   5.33
 238  2.00 0.75 3631   5.97
 239  2.00 0.20 3188   0.24
 240  2.00 0.21 3200   0.82
 241  2.00 0.72 3611   6.32
 242  2.00 0.32 3293   3.67
 243  2.00 0.19 3183   1.72
 244  2.00 0.24 3232   2.72
 245  0.92 0.62 3523   7.80
 246  2.00 0.27 3255   4.10
 247  2.00 0.12 3040   0.24
 248  2.00 0.14 3103   3.11
 249  2.00 0.07 2854  -1.41
 250  2.00 0.10 2883   2.64
 251  2.00 0.06 2826   2.17
 252  2.00 0.04 2754   0.65
 253  2.00 0.05 2763   1.79
 254  0.06 0.12 3054   8.02
 255  1.00 0.04 2729   1.19
 256  0.06 0.09 2867   7.08
 257  0.72 0.05 2761   2.98
 261  0.86 0.01 2330   2.20
 263  0.89 0.01 2152  -0.45
 264  0.65 0.01 2102  -0.11
 267  0.59 0.00 1874  -3.71
 276  2.00 0.38 3341   1.97
 277  2.00 0.09 2863  -0.24
 278  2.00 0.11 2988   3.97
 279  2.00 0.04 2713   0.98
 290  2.00 0.82 3687   0.97
 291  2.00 0.76 3640   3.07
 292  2.00 0.52 3441   2.98
 293  2.00 0.40 3356   2.65
 294  2.00 0.25 3242   1.82
 295  2.00 0.28 3265   3.19
 296  2.00 0.21 3199   2.11
 297  2.00 0.50 3430   5.34
 298  0.79 0.57 3488   8.07
 299  2.00 0.05 2759  -0.57
 302  2.00 0.01 2378  -0.05
 308  0.75 0.00 1571  -6.45
 314  2.00 0.77 3644  -0.07
 315  2.00 0.48 3412   0.36
 316  2.00 0.55 3470   1.20
 317  2.00 0.45 3386   0.43
 318  2.00 0.49 3417   1.42
 319  2.00 0.55 3471   2.19
 320  2.00 0.39 3349   0.55
 321  2.00 0.57 3481   3.30
 322  2.00 0.23 3222  -0.61
 323  2.00 0.65 3553   4.35
 324  2.00 0.12 3051  -1.10
 325  2.00 0.17 3147   0.88
 326  2.00 0.09 2865  -3.80
 327  2.00 0.15 3116   0.89
 328  2.00 0.11 3029   0.07
 329  2.00 0.15 3124   2.84
 330  2.00 0.13 3063   1.70
 331  2.00 0.07 2853  -2.70
 332  2.00 0.05 2762   2.03
 333 -0.08 0.12 3053   8.62
 335  2.00 0.02 2402   1.16
 336  0.79 0.01 2197   1.15
 337  0.51 0.01 2179   2.29
 344  2.00 0.76 3640   3.92
 345  2.00 0.47 3402   2.46
 346  2.00 0.59 3497   3.90
 347  2.00 0.22 3214   0.31
 348  2.00 0.34 3312   2.81
 349  2.00 0.11 3024  -2.01
 350  2.00 0.15 3108   0.33
 351  0.92 0.46 3396   6.89
 352  2.00 0.13 3069   1.45
 353  0.94 0.20 3190   3.68
 354  0.79 0.27 3261   5.74
 355  2.00 0.10 2857   0.25
 356  0.83 0.17 3159   4.71
 357  1.00 0.13 3083   3.31
 358  2.00 0.09 2865   0.41
 359  2.00 0.06 2837  -2.31
 360  2.00 0.10 2907   1.96
 361  0.61 0.18 3170   6.33
 362  2.00 0.11 2940   2.77
 363  2.00 0.07 2852   1.21
 364  2.00 0.05 2765   0.38
 365  2.00 0.05 2759   1.95
 366  0.74 0.06 2808   3.54
 367  0.74 0.05 2766   3.48
 368  2.00 0.04 2675   0.39
 369  0.63 0.05 2758   3.38
 370  0.98 0.04 2681   1.66
 373  0.50 0.04 2756   4.21
 374  0.37 0.04 2720   5.60
 378  0.90 0.01 2347   1.93
 381  0.43 0.01 2308   3.88
 384  0.91 0.00 1852  -5.66
 391  0.03 0.00 1679  -2.96
 406  2.00 0.75 3631   1.39
 407  2.00 0.50 3431   2.07
 408  2.00 0.27 3259   1.57
 409  2.00 0.39 3347   3.03
 411  2.00 0.31 3289   2.84
 412  2.00 0.47 3401   1.77
 413  2.00 0.24 3228   3.51
 414  2.00 0.10 2858   2.10
 415 -0.20 1.13 3885  15.91
 416  2.00 0.05 2773   0.63
 418  0.99 0.01 2339   1.34
 422  0.09 0.01 2333   6.14
 424  0.18 0.00 1899  -1.42
 425  0.14 0.00 1772  -3.27
 431  2.00 0.60 3507   0.95
 432  2.00 0.18 3164  -1.63
 433  2.00 0.22 3211   1.75
 434  2.00 0.11 3002  -2.01
 435  2.00 0.15 3115   2.38
 436  2.00 0.11 2957  -2.40
 437  2.00 0.11 2968  -1.19
 438  2.00 0.13 3078   0.77
 439  2.00 0.07 2855  -0.88
 445  2.00 0.01 2276   0.81
 448  0.90 0.01 2130  -0.68
 458  2.00 1.10 3870  -1.09
 459  2.00 0.90 3753  -2.01
 461  2.00 0.42 3371   1.32
 462  2.00 0.31 3292   0.87
 463  2.00 0.16 3138  -0.05
