SpT,SpTnum,L03,HH14,PM13,LV23,F16,S09,R10
K5,-5,,4210,4140,4025,,,
K6,-4,,,4020,4016,,,
K7,-3,,4020,3970,3861,,,
K8,-2,,,3940,3815,,,
K9,-1,,,3880,3795,,,
M0,0,,3900,3770,3856,,,
M1,1,3705,3720,3630,3663,,,
M2,2,3560,3560,3490,3525,,,
M3,3,3415,3410,3360,3462,,,
M4,4,3270,3190,3160,3332,,,
M5,5,3125,2980,2880,3237,,,
M6,6,2990,2860,,,,2777,2854
M7,7,2880,2770,,,,2673,2810
M8,8,2710,2670,,,2600,2546,2687.8
M9,9,2400,2570,,,2370,2406,
L0,10,,,,,2173,2259,
L1,11,,,,,1983,2112,
L2,12,,,,,1809,1971,
L3,13,,,,,1649,1840,
L4,14,,,,,1504,1721,
L5,15,,,,,1380,1617,
L6,16,,,,,1261,,
L7,17,,,,,1158,,
L8,18,,,,,1063,,
L9,19,,,,,1000,,
